"date","mkt_rf","smb","hml","rf","Mom"
"1940-05-31",-0.2197577828,-0.0739514277,-0.0467910118,-0.0002599675,0.0207452751
"1940-06-30",0.0664881603,-0.0167924250,0.0449946434,0.0000000000,-0.0185184100
"1940-07-31",0.0315984629,0.0097439661,-0.0070161179,0.0000000000,-0.0063458979
"1940-08-31",0.0223641428,-0.0016071733,0.0060385140,0.0000000000,-0.0232995898
"1940-09-30",0.0240724093,0.0318744419,-0.0098789428,0.0000000000,-0.0330180597
"1940-10-31",0.0304797053,0.0031772693,0.0459976888,0.0000000000,-0.0449244654
"1940-11-30",-0.0161353919,0.0202685432,0.0040420888,0.0000000000,-0.0163461349
"1940-12-31",0.0068494528,-0.0217737666,-0.0092289691,0.0000000000,0.0334533839
"1941-01-31",-0.0420425947,0.0103811403,0.0406095727,0.0000000000,-0.0569754020
"1941-02-28",-0.0145663945,-0.0153841403,0.0097406605,0.0000000000,-0.0060141127
"1941-03-31",0.0085336206,0.0006155032,0.0304248880,0.0000000000,0.0177229943
"1941-04-30",-0.0543261855,-0.0175716246,0.0371765959,0.0000000000,0.0165364475
"1941-05-31",0.0134442433,-0.0068786049,0.0063982758,0.0000000000,0.0471446588
"1941-06-30",0.0583059484,0.0125874245,0.0058459083,0.0000000000,-0.0207200242
"1941-07-31",0.0584036425,0.0530203206,0.0678186574,0.0002600325,-0.0090657240
"1941-08-31",-0.0017367414,-0.0040052008,-0.0109667745,0.0000000000,0.0023661545
"1941-09-30",-0.0087148026,-0.0099155542,-0.0025231625,0.0000000000,0.0038779810
"1941-10-31",-0.0525813662,-0.0207095103,0.0178666040,0.0000000000,0.0481996618
"1941-11-30",-0.0196633559,-0.0113344431,-0.0056923062,0.0000000000,0.0522210376
"1941-12-31",-0.0490377106,-0.0283644640,-0.0600339542,0.0000000000,-0.0044071104
"1942-01-31",0.0077153414,0.0741483524,0.1002051730,0.0002600325,-0.0774332978
"1942-02-28",-0.0242554567,0.0176546340,-0.0107543352,0.0002200231,-0.0106186659
"1942-03-31",-0.0659241476,0.0185503907,-0.0060186527,0.0000000000,0.0063542321
"1942-04-30",-0.0436354659,-0.0049544157,0.0225121482,0.0000000000,-0.0104773160
"1942-05-31",0.0595601807,-0.0309457424,-0.0252582209,0.0002500300,-0.0282022901
"1942-06-30",0.0266313992,-0.0131543800,0.0042648949,0.0002600325,-0.0348188443
"1942-07-31",0.0347144993,-0.0019237522,0.0239787317,0.0002600325,-0.0038923455
"1942-08-31",0.0178609992,-0.0004860321,0.0129840587,0.0002600325,-0.0007971168
"1942-09-30",0.0262784121,0.0062646187,0.0233046451,0.0002500300,0.0019500162
"1942-10-31",0.0682743460,0.0150007081,0.0610164100,0.0002600325,-0.0089311131
"1942-11-30",0.0014812462,-0.0153606719,-0.0425220716,0.0002200231,0.0213219071
"1942-12-31",0.0514509985,-0.0240028814,0.0059440544,0.0002600325,0.0333780739
"1943-01-31",0.0713769786,0.0816163148,0.0751590067,0.0002500300,-0.0426570572
"1943-02-28",0.0615556744,0.0451501336,0.0615112849,0.0002200231,0.0333925771
"1943-03-31",0.0607772131,0.0478843433,0.0524134038,0.0002700351,0.0570017610
"1943-04-30",0.0080710098,0.0211665579,0.0609257932,0.0002500300,0.0601267296
"1943-05-31",0.0575047695,0.0417921213,0.0313820569,0.0002500300,0.0574454413
"1943-06-30",0.0182425307,-0.0097935442,-0.0066141627,0.0002600325,-0.0159014103
"1943-07-31",-0.0474592959,-0.0252706375,-0.0225549878,0.0002600325,-0.0507105690
"1943-08-31",0.0131273024,-0.0063140319,-0.0039432855,0.0002600325,0.0056584314
"1943-09-30",0.0241519120,0.0126816731,0.0140444878,0.0002500300,0.0276012245
"1943-10-31",-0.0113339916,0.0060502212,0.0176390361,0.0002500300,-0.0118187469
"1943-11-30",-0.0593207701,-0.0158176266,-0.0408149919,0.0002300253,-0.0403853985
"1943-12-31",0.0637334916,0.0308652618,0.0295982685,0.0002600325,0.0321573957
"1944-01-31",0.0175112712,0.0255306035,0.0224955770,0.0002500300,-0.0146574040
"1944-02-29",0.0035418082,-0.0007511234,0.0081389820,0.0002300253,-0.0086274325
"1944-03-31",0.0247225249,0.0166383112,0.0337723120,0.0002700351,0.0007027162
"1944-04-30",-0.0167472149,-0.0127899838,-0.0104827395,0.0002400276,0.0081891831
"1944-05-31",0.0507966756,0.0156879608,0.0094511811,0.0002600325,0.0166979072
"1944-06-30",0.0548696409,0.0383356297,0.0174131167,0.0002600325,-0.0116065069
"1944-07-31",-0.0147826726,0.0059846531,-0.0037268999,0.0002500300,-0.0235479067
"1944-08-31",0.0156059064,0.0234759764,-0.0156969322,0.0002500300,0.0416182193
"1944-09-30",0.0002254971,0.0049987689,-0.0112422413,0.0002400276,-0.0026275591
"1944-10-31",0.0017636846,-0.0015514739,-0.0029860617,0.0002500300,-0.0083772349
"1944-11-30",0.0170797092,0.0038576137,0.0231526816,0.0002300253,0.0041998760
"1944-12-31",0.0407679660,0.0218779577,0.0572088028,0.0002500300,0.0080111671
"1945-01-31",0.0200429903,0.0238164215,0.0078692123,0.0002600325,-0.0148379322
"1945-02-28",0.0622036607,0.0147507368,0.0418404500,0.0002200231,0.0175133526
"1945-03-31",-0.0391261431,-0.0172501563,-0.0161353743,0.0002600325,-0.0460795431
"1945-04-30",0.0781485359,0.0042657827,0.0289952692,0.0002400276,0.0437276856
"1945-05-31",0.0171111053,0.0149351337,0.0035462281,0.0002600325,-0.0142514806
"1945-06-30",0.0035652760,0.0311590541,0.0433590471,0.0002600325,0.0198155032
"1945-07-31",-0.0221714851,-0.0148639327,-0.0267287965,0.0002100210,-0.0425961072
"1945-08-31",0.0621148599,0.0156609565,-0.0402321478,0.0002100210,-0.0224501294
"1945-09-30",0.0477033608,0.0168862306,0.0041317947,0.0002300253,0.0060261232
"1945-10-31",0.0387202583,0.0231029253,0.0211694066,0.0002400276,-0.0106576656
"1945-11-30",0.0541118405,0.0400056081,0.0422747302,0.0002300253,0.0139800743
"1945-12-31",0.0126252635,0.0218576347,-0.0227112779,0.0002400276,0.0108791158
"1946-01-31",0.0630524258,0.0379214461,0.0214801063,0.0002600325,0.0217284626
"1946-02-28",-0.0585381482,-0.0064405612,-0.0128254726,0.0002100210,-0.0203643266
"1946-03-31",0.0590636888,0.0031752348,-0.0035568197,0.0002600325,0.0112828549
"1946-04-30",0.0424773404,0.0230925584,0.0044479983,0.0002500300,0.0381726625
"1946-05-31",0.0393506481,0.0142057599,0.0108281073,0.0002500300,-0.0062068540
